Issue ID,Facility,Issue,Location,Fix,Status,Verdict,Verified,Correction applied,Priority
V0094,ALL SITES,"Treatment hub slug differs across the portfolio: /treatment (8 sites), /treatment-services (Dallas), /programs (Des Moines), /what-we-offer (Marina Harbor).",Portfolio-wide - see Page Type Matrix and Slug Standardization tabs in the audit workbook,"Adopt /treatment portfolio-wide. Redirect the three outliers.

Outlier URLs to redirect:
https://dallas-detox-center.vercel.app/treatment-services  ->  /treatment
https://des-moines-wellness-center-navy.vercel.app/programs  ->  /treatment
https://marina-harbor-detox.vercel.app/what-we-offer  ->  /treatment

Reference build already on the standard:
https://ocean-coast-recovery-center.vercel.app/treatment",Open,CONFIRMED,2026-07-28,none - row accurate as written,not triaged
V0095,ALL SITES,"Aftercare slug has 6 distinct variants across 9 sites (count corrected from 7): /treatment/aftercare (4 sites), /treatment/aftercare-planning, /treatment/aftercare-beyond, /treatment-services/aftercare-planning, /programs/aftercare-and-alumni, /aftercare. THREE SITES HAVE NO AFTERCARE PAGE AT ALL - Wellness NJ, QHG parent, Greater Texas - so this is a rename across 9 plus a build decision for 3, not a rename across 12.",Portfolio-wide - see Page Type Matrix and Slug Standardization tabs in the audit workbook,"Adopt /treatment/aftercare portfolio-wide.

Outlier URLs to redirect:
https://hillside-mission-recovery-beryl.vercel.app/treatment/aftercare-beyond
https://dallas-detox-center.vercel.app/treatment-services/aftercare-planning
https://fort-worth-wellness.vercel.app/treatment/aftercare-planning
https://des-moines-wellness-center-navy.vercel.app/programs/aftercare-and-alumni
https://marina-harbor-detox.vercel.app/aftercare

Reference build already on the standard:
https://laguna-view-detox.vercel.app/treatment/aftercare",Open,CONFIRMED_AMENDED,2026-07-28,"COUNT WRONG: the issue text says 7 variants but there are 6, and the row own list contains 6. Off by one.
Also omitted: 3 sites have NO aftercare page at all - Wellness NJ, QHG parent and Greater Texas. That matters because the row reads as a rename exercise across 12 sites when it is a rename across 9 plus a build decision for 3. For Wellness NJ specifically, aftercare is a normal part of an outpatient continuum, so its absence is more likely a gap than by-design - unlike the detox and residential absence confirmed in V0084.",not triaged
V0096,ALL SITES,"Verify-insurance slug has 4 variants and is ABSENT ON 5 SITES (count corrected from 7): Hillside, Marina Harbor, Wellness NJ, QHG parent, Fort Worth. Dallas was wrongly listed as missing in the original row - dallas-detox-center.vercel.app/verify-insurance returns HTTP 200, and its actual defect is covered by V0017. Only 3 sites use the proposed /verify-insurance standard.",Portfolio-wide - see Page Type Matrix and Slug Standardization tabs in the audit workbook,"Adopt /verify-insurance portfolio-wide and build it everywhere it is missing.

Existing variants:
https://des-moines-wellness-center-navy.vercel.app/verify-insurance
https://laguna-view-detox.vercel.app/insurance
https://ocean-coast-recovery-center.vercel.app/insurance
https://seaside-wellness-of-palm-beach.vercel.app/admissions/insurance-verification
https://wellness-detox-of-la.vercel.app/admissions/verify-your-insurance

Missing entirely on:
https://hillside-mission-recovery-beryl.vercel.app
https://marina-harbor-detox.vercel.app
https://wellness-recovery-nj.vercel.app
https://quadrant-health-group.vercel.app
https://fort-worth-wellness.vercel.app
https://dallas-detox-center.vercel.app

Reference build already on the standard:
https://des-moines-wellness-center-navy.vercel.app/verify-insurance",Open,CONFIRMED_AMENDED,2026-07-28,"Two errors, and the second contradicts another row.
1) COUNT WRONG: the row says absent on 7 sites. It is absent on 5 - Hillside, Marina Harbor, Wellness NJ, QHG parent, Fort Worth.
2) DALLAS IS WRONGLY LISTED AS MISSING in the Fix column. Dallas /verify-insurance returns HTTP 200. This directly contradicts V0017, which correctly states that the page IS live and the real defect is its absence from the sitemap plus one mislinked CTA. So two of my rows assert opposite things about the same URL. V0017 is the correct one; remove Dallas from this row entirely.",not triaged
V0097,ALL SITES,"About slug: /about is live on 9 sites (count corrected from 7). Only 3 sites genuinely need a rename - Dallas /about-us, Fort Worth /about-us, Greater Texas /our-story. Seaside and Wellness LA were wrongly listed as outliers: both already have /about at HTTP 200, and their nested pages are additional pages covered by V0073 and V0078. NOTE production diverges - Laguna and Ocean Coast production 301 /about to /about-us/, so their production slug is /about-us.",Portfolio-wide - see Page Type Matrix and Slug Standardization tabs in the audit workbook,"Adopt /about portfolio-wide.

Outlier URLs to redirect:
https://dallas-detox-center.vercel.app/about-us
https://fort-worth-wellness.vercel.app/about-us
https://greater-texas-behavioral.vercel.app/our-story
https://seaside-wellness-of-palm-beach.vercel.app/about/about-us
https://wellness-detox-of-la.vercel.app/about/our-story

Reference build already on the standard:
https://laguna-view-detox.vercel.app/about",Open,CONFIRMED_AMENDED,2026-07-28,"Two corrections that change the size of the job.
1) COUNT WRONG: the row says /about is on 7 sites. It is on 9.
2) THE OUTLIER LIST IS WRONG. Seaside and Wellness LA are listed as outliers needing a redirect, but both ALREADY have /about at HTTP 200. Their /about/about-us and /about/our-story pages are ADDITIONAL pages, not alternative slugs - and those are already covered by V0073 and V0078 (where V0078 was withdrawn as normal architecture). So the genuine rename list is 3 sites, not 5: Dallas /about-us, Fort Worth /about-us, and Greater Texas /our-story.",not triaged
V0098,ALL SITES,"Contact slug differs: /contact (8 sites), /contact-us (Dallas, Fort Worth), /contact-location (Marina Harbor), absent on Greater Texas.",Portfolio-wide - see Page Type Matrix and Slug Standardization tabs in the audit workbook,"Adopt /contact portfolio-wide.

Outlier URLs to redirect:
https://dallas-detox-center.vercel.app/contact-us
https://fort-worth-wellness.vercel.app/contact-us
https://marina-harbor-detox.vercel.app/contact-location

Missing entirely on:
https://greater-texas-behavioral.vercel.app

Reference build already on the standard:
https://ocean-coast-recovery-center.vercel.app/contact",Open,CONFIRMED,2026-07-28,none - row accurate as written,not triaged
V0099,ALL SITES,"FAQ slug has 6 distinct variants (count corrected from 4) and is absent on 7 sites. WELLNESS DETOX LA HAS THREE SEPARATE FAQ PAGES - /admissions/addiction-faq, /admissions/treatment-faq and /admissions/insurance-admissions-faq - which the original count concealed. Only 2 sites use the proposed /faq standard, so this is a build-new task on 7 sites and a rename on 3.",Portfolio-wide - see Page Type Matrix and Slug Standardization tabs in the audit workbook,"Adopt /faq portfolio-wide.

Outlier URLs to redirect:
https://dallas-detox-center.vercel.app/faq-page
https://seaside-wellness-of-palm-beach.vercel.app/about/faq
https://wellness-detox-of-la.vercel.app/admissions/addiction-faq

Reference build already on the standard:
https://wellness-recovery-nj.vercel.app/faq",Open,CONFIRMED_AMENDED,2026-07-28,"VARIANT COUNT WRONG: the row says 4 variants; there are 6. I missed two on Wellness Detox LA.
And the omission matters: WELLNESS DETOX LA HAS THREE SEPARATE FAQ PAGES - /admissions/addiction-faq, /admissions/treatment-faq and /admissions/insurance-admissions-faq. That is FAQ content fragmented across three URLs on one site, which is a distinct issue from portfolio slug inconsistency and is not logged anywhere. It should be its own row, since consolidating three FAQ pages is different work from renaming one.
Also note only 2 sites use the proposed standard /faq (Marina Harbor, Wellness NJ), so this is a build-new task on 7 sites and a rename on 3, not primarily a rename.",not triaged
V0100,ALL SITES,"Privacy policy: 1 site has NO privacy page at all (Greater Texas) - a compliance exposure on a YMYL healthcare site. 1 site uses a non-standard slug (/privacy on Ocean Coast). 2 sites have it live but correctly excluded from the sitemap because they are noindex (Laguna, Wellness LA) - not defects. Original row bundled all three situations as ""3 sites have none in the sitemap"".",Portfolio-wide - see Page Type Matrix and Slug Standardization tabs in the audit workbook,"Adopt /privacy-policy portfolio-wide. Required for a YMYL healthcare site.

Outlier URL to redirect:
https://ocean-coast-recovery-center.vercel.app/privacy

Live but missing from sitemap on:
https://laguna-view-detox.vercel.app/privacy-policy
https://wellness-detox-of-la.vercel.app/privacy-policy

Absent entirely on:
https://greater-texas-behavioral.vercel.app

Reference build already on the standard:
https://dallas-detox-center.vercel.app/privacy-policy",Open,CONFIRMED_AMENDED,2026-07-28,"PRIORITY COMPLIANCE: Greater Texas has no privacy policy page at all

The ""3 sites"" figure bundles two different situations and so misleads. Two of the three (Laguna, Wellness LA) are noindex, so their sitemap exclusion is CORRECT behaviour - already settled as by-design in V0068 and V0080. Only Greater Texas is a real gap. Reword to: 1 site has no privacy policy at all; 2 are correctly excluded because they are noindex; 1 uses a non-standard slug.",COMPLIANCE
V0101,ALL SITES,"Blog URL pattern differs 4 ways: /blog/slug (6 sites), root-level /slug (Des Moines, Hillside, Seaside, Wellness LA), dated /YYYY/MM/DD/slug (Dallas, Marina Harbor), /about/blog (Seaside index).",Portfolio-wide,"Adopt /blog/slug portfolio-wide. Dated URLs date the content and root-level posts collide with page slugs.

Dated post URLs to migrate:
https://dallas-detox-center.vercel.app/2026/06/17/why-dual-diagnosis-treatment-matters
https://marina-harbor-detox.vercel.app/blog   (dated post paths)

Root-level post paths to migrate:
https://hillside-mission-recovery-beryl.vercel.app/what-is-al-anon
https://seaside-wellness-of-palm-beach.vercel.app/about/blog   (index at a nested path)

Reference build already on the standard:
https://laguna-view-detox.vercel.app/blog",Open,CONFIRMED_AMENDED,2026-07-28,"One addition that changes the migration plan: TWO SITES ARE INTERNALLY MIXED, which the row does not mention.
  Laguna: 158 posts at /blog/slug plus 1 at root level
  Marina Harbor: 69 posts dated plus 1 at /blog/slug
So the inconsistency is not only across sites but within them, and a per-site bulk rename would miss the stragglers. Those two single posts need finding individually.
Minor: the Fix cites marina-harbor-detox.vercel.app/blog as a ""dated post path"" - that is the index, not a dated post. Cite an actual dated URL.",not triaged
V0102,ALL SITES,"PORTFOLIO-WIDE TRAILING-SLASH MISMATCH, affecting all 1,046 preview URLs. All 12 previews serve the slashless form at 200 and 308-redirect the slash form. All 12 production sites are slash-canonical, returning 301 on the slashless form. At cutover every inbound link using the production convention hits a redirect. This also CAUSES the canonical-target redirects in V0018 and V0067, since the builds emit slashless canonicals against slash-canonical production - fixing the convention fixes those too.","Preview: https://fort-worth-wellness.vercel.app/about-us  (HTTP 200, no trailing slash)
Production: https://fortworthwellness.org/about-us  (HTTP 301 to the trailing-slash form)","Pick one convention and enforce it in the Next.js config across all 12 builds, then align the redirect map. Verify against:
https://fortworthwellness.org/about-us/
https://fort-worth-wellness.vercel.app/about-us",Open,CONFIRMED_AMENDED,2026-07-28,"PRIORITY CRITICAL: Affects all 1,046 preview URLs at cutover

SCOPE UNDERSTATED. The row cites Fort Worth as though it were an example of a localised problem. It is portfolio-wide and total: every preview and every production site disagree on this. That makes it the single largest cutover issue in the audit by URL count - it affects all 1,046 preview URLs, not a subset.
Also worth stating in the row: because previews 308-redirect the slash form, any existing inbound link or citation using the production slash convention will hit a redirect on the new build. That is the concrete consequence, and it applies to every indexed URL in the portfolio.",CRITICAL
V0103,ALL SITES,"On production, /contact 301s to a JPEG attachment rather than the contact page. Confirmed on both Dallas and Fort Worth, a WordPress media attachment occupying the /contact slug. Any inbound link or citation using /contact currently lands on an image file.","https://dallasdetoxcenter.com/contact  ->  https://dallasdetoxcenter.com/wp-content/uploads/2022/01/contact.jpg
https://fortworthwellness.org/contact  ->  https://fortworthwellness.org/wp-content/uploads/2022/01/contact.jpg","Delete or rename the attachment, then 301 /contact to the real contact page:
https://dallasdetoxcenter.com/contact-us/
https://fortworthwellness.org/contact-us/

Fix before cutover, otherwise the new builds inherit it.",Open,CONFIRMED,2026-07-28,none - row accurate as written,not triaged
