Issue ID,Verdict,Batch,Checked,"What was actually tested, and the result",Correction to the row,Notes
V0017,CONFIRMED_AMENDED,B1,2026-07-28 01:52 UTC,"sitemap.xml: 103 URLs, zero matching ""verify"" -> omission CONFIRMED.
/verify-insurance -> HTTP 200 -> live CONFIRMED.
Enumerated ALL homepage links whose text mentions verify/insurance: 6 found. 5 correctly target /verify-insurance (all HTTP 200). 1 targets /contact-us.","Row says ""the homepage CTA ... points to /contact-us"", implying the CTA or all of them. It is 1 of 6, and the other 5 are correct. The offending one is the FINAL CTA band (""Take the first step toward recovery today""). Two CTAs carry the exact label ""Verify Your Insurance""; the upper one is correct, the final one is not. Reword to: ""the final homepage CTA band links Verify Your Insurance to /contact-us; the other 5 verify CTAs on the page are correct.""","Scope is narrower than written, so severity drops. Still a real mislink on the last conversion point on the page."
V0018,CONFIRMED_AMENDED,B1,2026-07-28 01:52 UTC,"preview homepage: canonical ABSENT (confirmed), robots meta ""index, follow"", x-robots-tag none, robots.txt ""Allow: /"" -> all sub-claims CONFIRMED.
preview /about-us DOES have canonical -> homepage-only scope CONFIRMED (1 of 103).
production homepage: canonical https://dallasdetoxcenter.com/ -> self-canonicalising CONFIRMED.","Two corrections, one softening and one hardening.
SOFTER: the preview homepage does carry og:url = https://dallasdetoxcenter.com, so a production URL signal exists even without a canonical. Row implies no signal at all.
HARDER, and more important: the other 102 canonicals are present but ALL point at URLs that 301-redirect. Preview canonicalises to https://dallasdetoxcenter.com/about-us while production serves /about-us/ and 301s the slashless form. A canonical aimed at a redirect is a conflicting signal. Tested 5 Dallas pages, 5 of 5 redirect. So Dallas canonicals are wrong on 103 of 103 pages, not 1 of 103: one missing, 102 misdirected.",Row understates this materially. Recommend rewriting V0018 around the trailing-slash mismatch.
V0020,CONFIRMED_AMENDED,B2,2026-07-28 01:55 UTC,"Re-harvested every <a href> across all 103 Dallas pages. All 14 geo pages: 0 inbound internal links. All HTTP 200, all robots ""index, follow"", all 14 present in sitemap.xml. No hub exists: /areas-we-serve, /locations and /service-areas all HTTP 404. Pages are substantial, 1,406-1,675 words each.","COUNT WRONG: issue text says 13 geo/city pages, the Location column lists 14 and 14 are orphaned. Correct figure is 14. Roughly 21,000 words of content sitting unlinked.","Three further defects found on these pages, not in the row:
1) H1 inconsistency: /abilene, /arlington, /waco, /wichita-falls, /farmers-branch etc. end "", TX"" while /mckinney, /plano, /richardson, /southlake omit it. /mckinney also reads ""Mckinney"" not ""McKinney"".
2) 8 of the 14 carry ""Written By: admin"" (see V0020 spread note below).
3) Targeting question: the facility is physically in Weatherford TX, near Fort Worth, yet pages target Abilene, Wichita Falls and Waco, all 100+ miles away. And /fort-worth-drug-rehab sits on the Dallas domain while a separate Fort Worth Wellness facility exists in the portfolio, so those two compete for the same city. Worth a deliberate decision rather than just building the hub."
V0021,CONFIRMED,B2,2026-07-28 01:55 UTC,"All 4 bio pages: HTTP 200, 0 inbound internal links across all 103 pages, all present in sitemap.xml. /about-us was checked directly and links to zero bio pages. /about-us/meet-the-team -> HTTP 404, so no team hub exists. Count of 4 is correct.",(none),"Claim holds exactly as written. Two observations for whoever builds the hub: the bios are thin at 204, 286, 354 and 577 words, and on a YMYL healthcare site they are the E-E-A-T surface, so thin bios undercut the purpose. Unlike the other facilities, Dallas bios are NOT duplicated on the Quadrant parent, so there is no cross-domain conflict to resolve here."
V0022,CONFIRMED_AMENDED,B2,2026-07-28 01:55 UTC,"All 5 landing pages: HTTP 200, robots ""index, follow"" (so indexable, as claimed), 0 inbound internal links, all 5 present in sitemap.xml. Orphan and indexable claims CONFIRMED.","COUNT WRONG: issue text says 4 paid landing pages, the Location column lists 5 and all 5 are orphaned. Correct figure is 5.","Two page-level defects found that deserve their own rows:
1) /va-cnn is misspelled. The content is about VA CCN (Veterans Affairs Community Care Network): H1 reads ""VA CCN"" and the body says CCN 14 times vs CNN once. But the URL says va-cnn AND the title tag says ""VA CNN Drug Rehab in Texas"". /va-ccn returns 404. CNN is also a news brand, so the title is actively misleading.
2) /lp-recovery is a homepage clone: identical H1 (""Premier Mental Health & Addiction Recovery in Dallas, TX""), 46.4% body overlap with the homepage, and a title tag with the brand suffix doubled."
V0094,CONFIRMED,B22,2026-07-28 02:53 UTC,"Tested all 4 candidate slugs on all 12 sites. Counts are exactly as claimed: /treatment on 8 sites (Hillside, Laguna, Ocean Coast, Seaside, Wellness LA, Wellness NJ, QHG parent, Fort Worth), /treatment-services on Dallas only, /programs on Des Moines only, /what-we-offer on Marina Harbor only.",(none),"Counts hold precisely. Two things to carry into the sheet rather than corrections:
1) The row accounts for 11 of 12 sites. Greater Texas has NO treatment hub under any of the four slugs, which is V0044 territory but worth cross-referencing so the standardisation work does not assume 12.
2) CAUTION ON THE CITED MODEL. The Fix names Ocean Coast as the ""reference build already on the standard"". That is true for the slug, but Ocean Coast is the site with 106 wrong canonicals (V0086). It appears as a suggested model in several of my Fix columns and should be replaced with Marina Harbor or Seaside wherever the citation implies general good configuration rather than just slug shape."
V0095,CONFIRMED_AMENDED,B22,2026-07-28 02:53 UTC,"Enumerated aftercare pages across all 12 sites and verified each returns HTTP 200. Measured 6 distinct URL patterns: /treatment/aftercare (4 sites - Laguna, Ocean Coast, Seaside, Wellness LA), /treatment/aftercare-planning (Fort Worth), /treatment/aftercare-beyond (Hillside), /treatment-services/aftercare-planning (Dallas), /programs/aftercare-and-alumni (Des Moines), /aftercare (Marina Harbor). The 5 outliers listed in the Fix are correct.","COUNT WRONG: the issue text says 7 variants but there are 6, and the row own list contains 6. Off by one.
Also omitted: 3 sites have NO aftercare page at all - Wellness NJ, QHG parent and Greater Texas. That matters because the row reads as a rename exercise across 12 sites when it is a rename across 9 plus a build decision for 3. For Wellness NJ specifically, aftercare is a normal part of an outpatient continuum, so its absence is more likely a gap than by-design - unlike the detox and residential absence confirmed in V0084.","Third count error of the run, after V0020 (13 vs 14) and V0022 (4 vs 5). All three were hand-written counts."
V0096,CONFIRMED_AMENDED,B23,2026-07-28 02:55 UTC,"Tested 7 candidate slugs on all 12 sites. 4 distinct variants confirmed, matching the row: /verify-insurance (Dallas, Des Moines, Greater Texas), /insurance (Laguna, Ocean Coast), /admissions/insurance-verification (Seaside), /admissions/verify-your-insurance (Wellness LA).","Two errors, and the second contradicts another row.
1) COUNT WRONG: the row says absent on 7 sites. It is absent on 5 - Hillside, Marina Harbor, Wellness NJ, QHG parent, Fort Worth.
2) DALLAS IS WRONGLY LISTED AS MISSING in the Fix column. Dallas /verify-insurance returns HTTP 200. This directly contradicts V0017, which correctly states that the page IS live and the real defect is its absence from the sitemap plus one mislinked CTA. So two of my rows assert opposite things about the same URL. V0017 is the correct one; remove Dallas from this row entirely.","First internal contradiction between two rows found in the run. Cause: this row was generated from the sitemap-derived page inventory, which does not contain Dallas /verify-insurance, while V0017 was written from live crawl data. Any row built from the sitemap inventory alone may have the same blind spot."
V0097,CONFIRMED_AMENDED,B23,2026-07-28 02:55 UTC,Tested all 5 candidate slugs on all 12 sites. 5 distinct variants confirmed. Every site has some About page - none is missing entirely.,"Two corrections that change the size of the job.
1) COUNT WRONG: the row says /about is on 7 sites. It is on 9.
2) THE OUTLIER LIST IS WRONG. Seaside and Wellness LA are listed as outliers needing a redirect, but both ALREADY have /about at HTTP 200. Their /about/about-us and /about/our-story pages are ADDITIONAL pages, not alternative slugs - and those are already covered by V0073 and V0078 (where V0078 was withdrawn as normal architecture). So the genuine rename list is 3 sites, not 5: Dallas /about-us, Fort Worth /about-us, and Greater Texas /our-story.",This row and V0073/V0078 were double-counting the same nested pages from different angles. Worth checking the remaining slug rows for the same pattern - a site having BOTH the standard slug and a variant is a different situation from having only the variant.
V0098,CONFIRMED,B23,2026-07-28 02:55 UTC,"Tested all candidate slugs on all 12 sites. Every figure in the row is exact: /contact live on 8 sites (Des Moines, Hillside, Laguna, Ocean Coast, Seaside, Wellness LA, Wellness NJ, QHG parent), /contact-us on Dallas and Fort Worth, /contact-location on Marina Harbor, and absent entirely on Greater Texas. 3 distinct variants, 12 sites fully accounted for.",(none),"The most accurate of the slug rows verified so far - correct variant count, correct site count, and it is the only one that explicitly accounts for all 12 sites including the site with none. The cited model (Ocean Coast /contact) is fine for slug shape, but see the V0094 caution about citing Ocean Coast as a general reference build."
