ID,Facility,Issue,Fix,Location
1,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/treatment-services/residential-inpatient
2,Dallas Detox,Modern Tools for Complex Healing - Empty Text Box,Add content,https://dallas-detox-center.vercel.app/treatment-services/dual-diagnosis
3,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/treatment-services/dual-diagnosis
4,Dallas Detox,"Our Customized Treatment Programs - Young Adults - Empty Text box
",Add content,https://dallas-detox-center.vercel.app/who-we-help
5,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/who-we-help
6,Dallas Detox,What to Expect During Residential Treatment at Dallas Detox Center - Science-backed healing for the mind - Empty Text box,Add content,https://dallas-detox-center.vercel.app/who-we-help
7,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/treatment-services/mental-health-residential
8,Dallas Detox,Our Team Ricki Cochran Therapist - Content built out sloppy,The content can be built out as a faq accordian or have ai rebuild the content to match the structure in the other staff pages,https://dallas-detox-center.vercel.app/about-us/ricki-cochran
9,Dallas Detox,Our Team Trevor Grigsby Clinical Director - Missing image of staff,Ask the facility for a picture of the staff member,https://dallas-detox-center.vercel.app/about-us/trevor-grigsby
10,Dallas Detox,Our Team Alexandria Grigsby Clinical Director - Missing image of staff,Ask the facility for a picture of the staff member,https://dallas-detox-center.vercel.app/about-us/alexandria-grigsby
11,Dallas Detox,Our Team Alexandria Grigsby Clinical Director - Partial content produced,Missing content from the original site,https://dallas-detox-center.vercel.app/about-us/alexandria-grigsby
12,Dallas Detox,Our Team Michael Young Case Manager - Partial Content produced,Missing content from the original site,https://dallas-detox-center.vercel.app/about-us/michael-young
13,Dallas Detox,"Written By: admin · Medically Reviewed By: Alexandria Grigsby LCDC · November 29, 2023",Remove the written by: admin in this page,https://dallas-detox-center.vercel.app/va-cnn
14,Dallas Detox,Get Help Now Introduction - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/va-cnn
15,Dallas Detox,We Can Help You - No Matter What. - Text box,"Remove entirely, use the Get Help Now box instead, AI copied the sections incorrectly in development",https://dallas-detox-center.vercel.app/va-cnn
16,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images (2x) using the pictures in the shared drive,https://dallas-detox-center.vercel.app/va-cnn
